dictionary,degree,polynomial,support,coefficients,fail_X128,fail_X256,fail_X512,fail_training,fail_holdout,fail_all,fail_controls_all,false_positive,survives_all,first_holdout_counterexample
linear,1,1,1,1:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1
linear,1,q,1,q:1,30,30,75,135,234,369,370,0,0,X=1024;n=1773;p=1229;residue=1
linear,1,rho,1,rho:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=544
linear,1,tau,1,tau:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=557
linear,1,eta,1,eta:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=203
linear,1,jet_u,1,jet_u:1,30,30,75,135,234,369,370,0,0,X=1024;n=1773;p=1229;residue=541
linear,1,1 - 2*q,2,1:1;q:-2,30,30,75,135,235,370,369,0,0,X=1024;n=1773;p=1229;residue=1228
linear,1,1 - q,2,1:1;q:-1,27,30,75,132,233,365,369,0,0,X=1024;n=1773;p=1823;residue=1
linear,1,1 + q,2,1:1;q:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=2
linear,1,1 + 2*q,2,1:1;q:2,30,30,74,134,235,369,368,0,0,X=1024;n=1773;p=1229;residue=3
linear,1,2*1 - q,2,1:2;q:-1,30,30,75,135,233,368,365,0,0,X=1024;n=1773;p=1229;residue=1
linear,1,2*1 + q,2,1:2;q:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=3
linear,1,1 - 2*rho,2,1:1;rho:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=142
linear,1,1 - rho,2,1:1;rho:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=686
linear,1,1 + rho,2,1:1;rho:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=545
linear,1,1 + 2*rho,2,1:1;rho:2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1089
linear,1,2*1 - rho,2,1:2;rho:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=687
linear,1,2*1 + rho,2,1:2;rho:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=546
linear,1,1 - 2*tau,2,1:1;tau:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=116
linear,1,1 - tau,2,1:1;tau:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=673
linear,1,1 + tau,2,1:1;tau:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=558
linear,1,1 + 2*tau,2,1:1;tau:2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1115
linear,1,2*1 - tau,2,1:2;tau:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=674
linear,1,2*1 + tau,2,1:2;tau:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=559
linear,1,1 - 2*eta,2,1:1;eta:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=824
linear,1,1 - eta,2,1:1;eta:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1027
linear,1,1 + eta,2,1:1;eta:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=204
linear,1,1 + 2*eta,2,1:1;eta:2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=407
linear,1,2*1 - eta,2,1:2;eta:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1028
linear,1,2*1 + eta,2,1:2;eta:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=205
linear,1,1 - 2*jet_u,2,1:1;jet_u:-2,29,30,75,134,235,369,370,0,0,X=1024;n=1773;p=1229;residue=148
linear,1,1 - jet_u,2,1:1;jet_u:-1,30,30,75,135,234,369,369,0,0,X=1024;n=1773;p=1229;residue=689
linear,1,1 + jet_u,2,1:1;jet_u:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=542
linear,1,1 + 2*jet_u,2,1:1;jet_u:2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1083
linear,1,2*1 - jet_u,2,1:2;jet_u:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=690
linear,1,2*1 + jet_u,2,1:2;jet_u:1,30,30,75,135,235,370,368,0,0,X=1024;n=1773;p=1229;residue=543
linear,1,q - 2*rho,2,q:1;rho:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=142
linear,1,q - rho,2,q:1;rho:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=686
linear,1,q + rho,2,q:1;rho:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=545
linear,1,q + 2*rho,2,q:1;rho:2,30,30,74,134,235,369,369,0,0,X=1024;n=1773;p=1229;residue=1089
linear,1,2*q - rho,2,q:2;rho:-1,30,29,75,134,235,369,369,0,0,X=1024;n=1773;p=1229;residue=687
linear,1,2*q + rho,2,q:2;rho:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=546
linear,1,q - 2*tau,2,q:1;tau:-2,29,30,74,133,235,368,370,0,0,X=1024;n=1773;p=1229;residue=116
linear,1,q - tau,2,q:1;tau:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=673
linear,1,q + tau,2,q:1;tau:1,30,30,75,135,234,369,370,0,0,X=1024;n=1773;p=1229;residue=558
linear,1,q + 2*tau,2,q:1;tau:2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1115
linear,1,2*q - tau,2,q:2;tau:-1,29,30,75,134,235,369,370,0,0,X=1024;n=1773;p=1229;residue=674
linear,1,2*q + tau,2,q:2;tau:1,29,30,75,134,235,369,369,0,0,X=1024;n=1773;p=1229;residue=559
linear,1,q - 2*eta,2,q:1;eta:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=824
linear,1,q - eta,2,q:1;eta:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1027
linear,1,q + eta,2,q:1;eta:1,29,30,75,134,235,369,369,0,0,X=1024;n=1773;p=1229;residue=204
linear,1,q + 2*eta,2,q:1;eta:2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=407
linear,1,2*q - eta,2,q:2;eta:-1,30,30,74,134,235,369,370,0,0,X=1024;n=1773;p=1229;residue=1028
linear,1,2*q + eta,2,q:2;eta:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=205
linear,1,q - 2*jet_u,2,q:1;jet_u:-2,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=148
linear,1,q - jet_u,2,q:1;jet_u:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=689
linear,1,q + jet_u,2,q:1;jet_u:1,30,29,75,134,235,369,368,0,0,X=1024;n=1773;p=1229;residue=542
linear,1,q + 2*jet_u,2,q:1;jet_u:2,30,30,75,135,235,370,368,0,0,X=1024;n=1773;p=1229;residue=1083
linear,1,2*q - jet_u,2,q:2;jet_u:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=690
linear,1,2*q + jet_u,2,q:2;jet_u:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=543
linear,1,rho - 2*tau,2,rho:1;tau:-2,30,30,75,135,229,364,364,0,0,X=1024;n=1773;p=1229;residue=659
linear,1,rho - tau,2,rho:1;tau:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1216
linear,1,rho + tau,2,rho:1;tau:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=1101
linear,1,rho + 2*tau,2,rho:1;tau:2,30,30,75,135,230,365,365,0,0,X=1024;n=1773;p=1229;residue=429
linear,1,2*rho - tau,2,rho:2;tau:-1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=531
linear,1,2*rho + tau,2,rho:2;tau:1,30,30,75,135,235,370,370,0,0,X=1024;n=1773;p=1229;residue=416
